term_uz,term_ru,term_en,icd10,concept,category,synonyms
kamqonlik,анемия,anemia,D64.9,anemia,condition,anemiya|qon kamligi|gemoglobin past
rangparlik,бледность,pallor,R23.1,pallor,symptom,oqarib ketgan|rangi oq
temir yetishmovchiligi,дефицит железа,iron deficiency,D50.9,iron_deficiency,condition,temir tanqisligi
tirnoq sinishi,ломкость ногтей,brittle nails,L60.3,brittle_nails,symptom,tirnoq sinadi
bel og'rig'i,боль в пояснице,low back pain,M54.5,low_back_pain,symptom,bel ogrigi|belim og'riyapti|umurtqa og'rig'i
bo'g'im og'rig'i,боль в суставах,joint pain,M25.50,joint_pain,symptom,bo'g'imlar og'riyapti|bug'in og'rig'i
bo'yin og'rig'i,боль в шее,neck pain,M54.2,neck_pain,symptom,bo'ynim og'riyapti
mushak og'rig'i,боль в мышцах,myalgia,M79.1,myalgia,symptom,mushaklar og'riyapti|badan og'rig'i|lomota
artrit,артрит,arthritis,M13.9,arthritis,condition,bo'g'im yallig'lanishi
bo'g'im shishi,отёк сустава,joint swelling,M25.40,joint_swelling,symptom,bo'g'im shishgan
bosh og'rig'i,головная боль,headache,R51.9,headache,symptom,bosh ogrigi|boshim og'riyapti|migren|bosh ogriyapti|bosh og'riyapti
kuchli bosh og'rig'i,сильнейшая головная боль,thunderclap headache,R51.9,thunderclap_headache,red_flag,hayotimdagi eng kuchli bosh og'rig'i
bo'yin qotishi,ригидность затылка,neck stiffness,R29.1,neck_stiffness,red_flag,bo'yin qattiq|iyagi ko'kragiga tegmaydi|meningizm
yorug'likdan qo'rqish,светобоязнь,photophobia,H53.14,photophobia,red_flag,yorug'lik ko'zni og'ritadi
talvasa,судороги,seizure,R56.9,seizure,red_flag,tutqanoq|epilepsiya xuruji
nutq buzilishi,нарушение речи,slurred speech,R47.81,slurred_speech,red_flag,gapira olmayapti|tili tutildi
bir tomon holsizligi,слабость в одной стороне,unilateral weakness,R29.898,unilateral_weakness,red_flag,qo'li ishlamayapti|yuzi qiyshaygan|bir tarafi falaj
ko'rish xiralashishi,нечёткое зрение,blurred vision,H53.8,blurred_vision,symptom,ko'zim xira ko'ryapti
uvishish,онемение,numbness,R20.0,numbness,symptom,sezgi yo'qolishi|karaxtlik
siyganda achishish,жжение при мочеиспускании,dysuria,R30.0,dysuria,symptom,siyish og'riqli|achishib siyish
siydikda qon,кровь в моче,hematuria,R31.9,hematuria,red_flag,qonli siydik
buyrak og'rig'i,боль в почках,flank pain,N23,flank_pain,symptom,buyragim og'riyapti|yon og'rig'i
homiladorlik,беременность,pregnancy,Z34.90,pregnancy,context,homilador|bo'yida bor|ikkiqat
homiladorlikda qon ketishi,кровотечение при беременности,pregnancy bleeding,O20.9,pregnancy_bleeding,red_flag,homilador qon ketyapti|bachadondan qon
hayz buzilishi,нарушение цикла,menstrual irregularity,N92.6,menstrual_irregularity,symptom,hayz kelmayapti|oyboshi buzilgan
toshma,сыпь,rash,R21,rash,symptom,teri toshmasi|dog'lar|qichima
qichishish,зуд,itching,L29.9,pruritus,symptom,qichiyapti|qichima
yara,рана,wound,T14.1,wound,symptom,jarohat|kesilgan
yiring,гной,pus,L02.91,purulent_discharge,symptom,yiringlagan
allergiya,аллергия,allergy,T78.40,allergy,condition,allergiyam bor
sepsis,сепсис,sepsis,A41.9,sepsis,red_flag,qon zaharlanishi
harorat,температура тела,body temperature,,vital_temperature,vital,tana harorati
puls,пульс,pulse,,vital_pulse,vital,yurak urishi
bosim,давление,blood pressure,,vital_bp,vital,qon bosimi|arterial bosim
vazn,вес,weight,,vital_weight,vital,og'irlik|kilo
bo'y,рост,height,,vital_height,vital,bo'yi
qand,сахар крови,blood glucose,,vital_glucose,vital,qon shakari|glyukoza
kislorod,сатурация,oxygen saturation,,vital_spo2,vital,saturatsiya|SpO2
kecha,вчера,yesterday,,onset_1d,modifier,kechadan beri|1 kun|bir kun
uch kundan beri,три дня,three days,,onset_3d,modifier,3 kun bo'ldi|3 kun|3 kundan beri|uch kun
bir haftadan beri,неделю,one week,,onset_1w,modifier,1 hafta bo'ldi|1 hafta|bir hafta|hafta bo'ldi
ikki haftadan beri,две недели,two weeks,,onset_2w,modifier,2 hafta|ikki hafta
bir oydan beri,месяц,one month,,onset_1m,modifier,1 oy bo'ldi|1 oy|bir oy
uch haftadan ortiq,более трёх недель,over three weeks,,onset_over_3w,modifier,3 haftadan ko'p
kuchli,сильный,severe,,severity_severe,modifier,juda qattiq|chidab bo'lmaydigan
o'rtacha,умеренный,moderate,,severity_moderate,modifier,o'rta darajada
yengil,лёгкий,mild,,severity_mild,modifier,sal|biroz
to'satdan,внезапно,sudden onset,,onset_sudden,modifier,birdan|tez
asta-sekin,постепенно,gradual onset,,onset_gradual,modifier,sekin-asta
yurak qon tomir kasalligi,сердечно-сосудистое заболевание,cardiovascular disease,I25.10,cardiovascular_disease,condition,yurak qon tomir xavfi|yurak kasalligi|yurak-qon tomir
xolesterin,холестерин,cholesterol,E78.5,cholesterol,lab,xolesterin baland|lipid
tuz,соль,salt,,dietary_salt,modifier,sho'r|tuzli|ko'p tuz
parhez,питание,diet,,diet,modifier,ovqatlanish|dieta|parhez qilish
chekish,курение,tobacco use,Z72.0,tobacco_use,modifier,tamaki|sigaret chekaman
gemoglobin,гемоглобин,hemoglobin,,hemoglobin,lab,gemoglobin past|gb
qon tahlili,анализ крови,blood test,,blood_test,lab,umumiy qon tahlili
glyukoza,глюкоза,glucose,,glucose,lab,qon glyukozasi|shakar tahlili
semirish,избыточный вес,overweight,E66.3,overweight,condition,ortiqcha vazn|vazn ortishi
jismoniy faollik,физическая активность,physical activity,,physical_activity,modifier,harakat|sport
balg'am tahlili,анализ мокроты,sputum test,,sputum_test,lab,balgam tekshiruvi|genexpert
regidratatsiya,регидратация,rehydration,,rehydration,treatment,ors|og'iz orqali regidratatsiya|suyuqlik berish
emizish,грудное вскармливание,breastfeeding,,breastfeeding,context,ko'krak suti|emizikli
