generic_name,name_uz,name_ru,form,strength,atc_code,availability_tier,controlled,pediatric_ok,pregnancy_category,typical_cost_uzs,notes
losartan,lozartan,лозартан,tablet,50 mg,C09CA01,2,false,false,D,11000,Alternative when ACE inhibitor causes cough
atorvastatin,atorvastatin,аторвастатин,tablet,20 mg,C10AA05,2,false,false,X,15000,Contraindicated in pregnancy
aspirin,aspirin,аспирин,tablet,75 mg,B01AC06,1,false,false,D,2000,Secondary prevention; not in children (Reye syndrome)
metformin,metformin,метформин,tablet,500 mg,A10BA02,1,false,false,B,6000,First-line for type 2 diabetes
metformin,metformin,метформин,tablet,1000 mg,A10BA02,2,false,false,B,10000,Titrate to tolerance
gliclazide,gliklazid,гликлазид,tablet,80 mg,A10BB09,2,false,false,C,12000,Hypoglycemia risk in the elderly
insulin human,inson insulini,инсулин человеческий,injection,100 IU/ml,A10AB01,3,false,true,B,85000,Cold chain required; oblast level
ferrous sulfate,temir sulfat,железа сульфат,tablet,200 mg,B03AA07,1,false,true,A,3000,Iron deficiency anemia; take with vitamin C
folic acid,folat kislotasi,фолиевая кислота,tablet,5 mg,B03BB01,1,false,true,A,2000,Pregnancy and megaloblastic anemia
vitamin b12,vitamin b12,витамин B12,injection,1000 mcg,B03BA01,2,false,true,A,6000,Pernicious and dietary B12 deficiency
potassium iodide,kaliy yodid,калия йодид,tablet,100 mcg,H03CA,1,false,true,A,2500,Iodine deficiency; endemic in several regions
levothyroxine,levotiroksin,левотироксин,tablet,50 mcg,H03AA01,2,false,true,A,9000,Hypothyroidism; titrate on TSH
salbutamol,salbutamol,сальбутамол,inhaler,100 mcg/dose,R03AC02,1,false,true,C,25000,Asthma and wheeze; spacer for children
beclometasone,beklometazon,беклометазон,inhaler,250 mcg/dose,R03BA01,2,false,true,C,45000,Asthma controller
prednisolone,prednizolon,преднизолон,tablet,5 mg,H02AB06,1,false,true,C,3500,Short courses for asthma exacerbation
loratadine,loratadin,лоратадин,tablet,10 mg,R06AX13,1,false,true,B,4000,Allergic rhinitis
cetirizine,setirizin,цетиризин,tablet,10 mg,R06AE07,1,false,true,B,4500,Allergic rhinitis and urticaria
isoniazid,izoniazid,изониазид,tablet,300 mg,J04AC01,3,false,true,C,4000,TB programme only; never start outside DOTS
rifampicin,rifampitsin,рифампицин,capsule,300 mg,J04AB02,3,false,true,C,6000,TB programme only; never start outside DOTS
albendazole,albendazol,альбендазол,tablet,400 mg,P02CA03,1,false,true,C,3000,Helminthiasis; avoid in first trimester
mebendazole,mebendazol,мебендазол,tablet,100 mg,P02CA01,1,false,true,C,2500,Helminthiasis
ors zinc kit,ORS va rux to'plami,набор ОРС и цинк,kit,WHO IMCI,V07,1,false,true,A,5000,IMCI standard childhood diarrhea kit
activated charcoal,faollashtirilgan ko'mir,активированный уголь,tablet,250 mg,A07BA01,1,false,true,A,1000,Symptomatic; not a substitute for referral in poisoning
magnesium sulfate,magniy sulfat,магния сульфат,injection,25%,B05XA05,2,false,false,A,7000,Eclampsia; give and refer immediately
